Dispatching_base_num,Pickup_date,locationID
B00013,2015-02-01 04:19:00,
B00013,2015-02-01 04:21:00,
B00013,2015-02-01 04:23:00,
B00013,2015-02-01 04:26:00,
B00013,2015-02-01 04:30:00,
B00013,2015-02-01 04:38:00,
B00013,2015-02-01 04:41:00,
B00013,2015-02-01 04:46:00,
B00013,2015-02-01 04:48:00,
B00013,2015-02-01 05:21:00,
B00013,2015-02-01 05:30:00,
B00013,2015-02-01 06:40:00,
B00013,2015-02-01 07:00:00,
B00013,2015-02-01 07:15:00,
B00013,2015-02-01 07:25:00,
B00013,2015-02-01 07:41:00,
B00013,2015-02-01 07:58:00,
B00013,2015-02-01 08:09:00,
B00013,2015-02-01 08:10:00,
B00013,2015-02-01 08:30:00,
B00013,2015-02-01 09:00:00,
B00013,2015-02-01 09:30:00,
B00013,2015-02-01 09:41:00,
B00013,2015-02-01 09:50:00,
B00013,2015-02-01 09:57:00,
B00013,2015-02-01 10:05:00,
B00013,2015-02-01 10:10:00,
B00013,2015-02-01 10:30:00,
B00013,2015-02-01 10:30:00,
B00013,2015-02-01 11:00:00,
B00013,2015-02-01 11:09:00,
B00013,2015-02-01 11:15:00,
B00013,2015-02-01 11:58:00,
B00013,2015-02-01 12:00:00,
B00013,2015-02-01 12:00:00,
B00013,2015-02-01 12:02:00,
B00013,2015-02-01 12:08:00,
B00013,2015-02-01 12:45:00,
B00013,2015-02-01 12:45:00,
B00013,2015-02-01 12:49:00,
B00013,2015-02-01 13:00:00,
B00013,2015-02-01 13:55:00,
B00013,2015-02-01 14:25:00,
B00013,2015-02-01 15:00:00,
B00013,2015-02-01 15:15:00,
B00013,2015-02-01 15:15:00,
B00013,2015-02-01 15:15:00,
B00013,2015-02-01 15:20:00,
B00013,2015-02-01 15:30:00,
B00013,2015-02-01 15:30:00,
B00013,2015-02-01 15:30:00,
B00013,2015-02-01 15:45:00,
B00013,2015-02-01 15:50:00,
B00013,2015-02-01 15:59:00,
B00013,2015-02-01 16:08:00,
B00013,2015-02-01 16:16:00,
B00013,2015-02-01 16:22:00,
B00013,2015-02-01 16:30:00,
B00013,2015-02-01 16:30:00,
B00013,2015-02-01 16:40:00,
B00013,2015-02-01 16:44:00,
B00013,2015-02-01 16:46:00,
B00013,2015-02-01 16:47:00,
B00013,2015-02-01 16:49:00,
B00013,2015-02-01 16:50:00,
B00013,2015-02-01 17:00:00,
B00013,2015-02-01 17:01:00,
B00013,2015-02-01 17:15:00,
B00013,2015-02-01 17:15:00,
B00013,2015-02-01 17:17:00,
B00013,2015-02-01 17:20:00,
B00013,2015-02-01 17:20:00,
B00013,2015-02-01 17:23:00,
B00013,2015-02-01 17:24:00,
B00013,2015-02-01 17:25:00,
B00013,2015-02-01 17:25:00,
B00013,2015-02-01 17:30:00,
B00013,2015-02-01 17:30:00,
B00029,2015-03-01 00:02:00,213
B00029,2015-03-01 00:03:00,51
B00029,2015-03-01 00:11:00,3
B00029,2015-03-01 00:11:00,259
B00029,2015-03-01 00:13:00,174
B00029,2015-03-01 00:15:00,81
B00029,2015-03-01 00:16:00,3
B00029,2015-03-01 00:18:00,51
B00029,2015-03-01 00:24:00,254
B00029,2015-03-01 00:24:00,265
B00029,2015-03-01 00:28:00,254
B00029,2015-03-01 00:41:00,259
B00029,2015-03-01 00:47:00,3
B00029,2015-03-01 00:59:00,3
B00029,2015-03-01 01:05:00,51
B00029,2015-03-01 01:07:00,3
B00029,2015-03-01 01:18:00,3
B00029,2015-03-01 01:18:00,3
B00029,2015-03-01 01:23:00,265
B00029,2015-03-01 01:26:00,81
B00029,2015-03-01 01:28:00,3
B00029,2015-03-01 01:30:00,51
B00029,2015-03-01 01:40:00,3
B00029,2015-03-01 01:40:00,3
B00029,2015-03-01 01:42:00,200
B00029,2015-03-01 01:46:00,51
B00029,2015-03-01 01:52:00,81
B00029,2015-03-01 01:56:00,265
B00029,2015-03-01 02:00:00,126
B00029,2015-03-01 02:06:00,51
B00029,2015-03-01 02:21:00,259
B00029,2015-03-01 02:26:00,265
B00029,2015-03-01 02:27:00,3
B00029,2015-03-01 02:28:00,3
B00029,2015-03-01 02:32:00,51
B00029,2015-03-01 02:32:00,3
B00029,2015-03-01 02:33:00,81
B00029,2015-03-01 02:40:00,51
B00029,2015-03-01 02:43:00,3
B00029,2015-03-01 02:45:00,213
B00029,2015-03-01 02:55:00,51
B00029,2015-03-01 02:57:00,81
B00029,2015-03-01 02:59:00,3
B00029,2015-03-01 03:02:00,3
B00029,2015-03-01 03:14:00,254
B00029,2015-03-01 03:17:00,265
B00029,2015-03-01 03:17:00,241
B00029,2015-03-01 03:30:00,51
B00029,2015-03-01 03:34:00,259
B00029,2015-03-01 03:36:00,265
B00029,2015-03-01 03:55:00,51
B00029,2015-03-01 03:59:00,169
B00029,2015-03-01 04:09:00,51
B00029,2015-03-01 04:19:00,81
B00029,2015-03-01 04:36:00,265
B00029,2015-03-01 04:43:00,265
B00029,2015-03-01 05:01:00,259
B00029,2015-03-01 05:02:00,51
B00029,2015-03-01 05:17:00,265
B00029,2015-03-01 05:22:00,3
B00029,2015-03-01 05:24:00,51
B00029,2015-03-01 05:24:00,3
B00029,2015-03-01 05:31:00,3
B00029,2015-03-01 05:33:00,32
B00029,2015-03-01 05:34:00,81
B00029,2015-03-01 05:40:00,265
B00029,2015-03-01 05:41:00,265
B00029,2015-03-01 05:41:00,32
B00029,2015-03-01 05:52:00,3
B00029,2015-03-01 05:53:00,81
B00029,2015-03-01 05:58:00,265
B00029,2015-03-01 06:03:00,81
B00029,2015-03-01 06:05:00,81
B00029,2015-03-01 06:10:00,259
B00029,2015-03-01 06:18:00,254
B00029,2015-03-01 06:20:00,3
B00029,2015-03-01 06:22:00,51
B00029,2015-03-01 06:22:00,265
B00029,2015-03-01 06:23:00,242
B00029,2015-03-01 06:28:00,265
B00029,2015-03-01 06:28:00,254
B00029,2015-03-01 06:30:00,259
B00029,2015-03-01 06:30:00,265
B00029,2015-03-01 06:32:00,3
B00029,2015-03-01 06:35:00,3
B00029,2015-03-01 06:39:00,46
B00029,2015-03-01 06:42:00,3
B00029,2015-03-01 06:43:00,3
B00029,2015-03-01 06:46:00,81
B00029,2015-03-01 06:48:00,81
B00029,2015-03-01 06:49:00,265
B00029,2015-03-01 06:49:00,265
B00029,2015-03-01 06:51:00,265
B00029,2015-03-01 06:53:00,51
B00029,2015-03-01 06:57:00,242
B00029,2015-03-01 06:57:00,51
B00029,2015-03-01 06:58:00,81
B00029,2015-03-01 06:58:00,3
B00029,2015-03-01 07:04:00,3
B00029,2015-03-01 07:05:00,265
B00001,2015-04-01 04:30:00,
B00001,2015-04-01 06:00:00,
B00001,2015-04-01 06:00:00,
B00001,2015-04-01 06:00:00,
B00001,2015-04-01 06:15:00,
B00001,2015-04-01 06:15:00,
B00001,2015-04-01 06:30:00,
B00001,2015-04-01 07:25:00,
B00001,2015-04-01 07:30:00,
B00001,2015-04-01 08:00:00,
B00001,2015-04-01 08:00:00,
B00001,2015-04-01 08:00:00,
B00001,2015-04-01 08:15:00,
B00001,2015-04-01 08:15:00,
B00001,2015-04-01 08:15:00,
B00001,2015-04-01 08:15:00,
B00001,2015-04-01 08:30:00,
B00001,2015-04-01 08:30:00,
B00001,2015-04-01 08:30:00,
B00001,2015-04-01 08:45:00,
B00001,2015-04-01 09:15:00,
B00001,2015-04-01 09:45:00,
B00001,2015-04-01 09:50:00,
B00001,2015-04-01 10:00:00,
B00001,2015-04-01 10:00:00,
B00001,2015-04-01 10:00:00,
B00001,2015-04-01 10:45:00,
B00001,2015-04-01 11:00:00,
B00001,2015-04-01 11:00:00,
B00001,2015-04-01 11:45:00,
B00001,2015-04-01 11:45:00,
B00001,2015-04-01 12:00:00,
B00001,2015-04-01 12:00:00,
B00001,2015-04-01 12:30:00,
B00001,2015-04-01 12:30:00,
B00001,2015-04-01 12:45:00,
B00001,2015-04-01 12:45:00,
B00001,2015-04-01 13:00:00,
B00001,2015-04-01 13:15:00,
B00001,2015-04-01 13:20:00,
B00001,2015-04-01 13:33:00,
B00001,2015-04-01 13:45:00,
B00001,2015-04-01 14:00:00,
B00001,2015-04-01 14:00:00,
B00001,2015-04-01 14:15:00,
B00001,2015-04-01 14:15:00,
B00001,2015-04-01 14:30:00,
B00001,2015-04-01 14:40:00,
B00001,2015-04-01 14:45:00,
B00001,2015-04-01 14:53:00,
B00001,2015-04-01 14:59:00,
B00001,2015-04-01 15:00:00,
B00001,2015-04-01 15:00:00,
B00001,2015-04-01 15:00:00,
B00001,2015-04-01 15:05:00,
B00001,2015-04-01 15:15:00,
B00001,2015-04-01 15:15:00,
B00001,2015-04-01 15:17:00,
B00001,2015-04-01 15:30:00,
B00001,2015-04-01 15:45:00,
B00001,2015-04-01 16:00:00,
B00001,2015-04-01 16:00:00,
B00001,2015-04-01 16:05:00,
B00001,2015-04-01 16:27:00,
B00001,2015-04-01 16:30:00,
B00001,2015-04-01 16:45:00,
B00001,2015-04-01 16:57:00,
B00001,2015-04-01 17:00:00,
B00001,2015-04-01 17:00:00,
B00001,2015-04-01 17:15:00,
B00001,2015-04-01 17:20:00,
B00001,2015-04-01 17:30:00,
B00001,2015-04-01 17:30:00,
B00001,2015-04-01 17:30:00,
B00001,2015-04-01 17:45:00,
B00001,2015-04-01 17:45:00,
B00001,2015-04-01 17:45:00,
B00001,2015-04-01 17:57:00,
B00001,2015-04-01 18:00:00,
B00001,2015-04-01 18:00:00,
B00001,2015-04-01 18:00:00,
B00001,2015-04-01 18:00:00,
B00001,2015-04-01 18:30:00,
B00001,2015-04-01 18:36:00,
B00001,2015-04-01 18:45:00,
B00001,2015-04-01 19:30:00,
B00001,2015-04-01 19:30:00,
B00001,2015-04-01 19:30:00,
B00001,2015-04-01 20:00:00,
B00001,2015-04-01 21:00:00,
B00001,2015-04-01 21:00:00,
B00001,2015-04-01 21:15:00,
B00001,2015-04-01 21:15:00,
B00001,2015-04-01 21:15:00,
B00001,2015-04-01 21:15:00,
B00001,2015-04-01 21:30:00,
B00001,2015-04-01 21:45:00,
B00001,2015-04-01 21:45:00,
B00001,2015-04-01 22:30:00,
B00001,2015-04-01 22:30:00,
B00001,2015-05-01 04:30:00,
B00001,2015-05-01 05:00:00,
B00001,2015-05-01 05:05:00,
B00001,2015-05-01 06:15:00,
B00001,2015-05-01 06:15:00,
B00001,2015-05-01 06:30:00,
B00001,2015-05-01 06:30:00,
B00001,2015-05-01 06:30:00,
B00001,2015-05-01 06:45:00,
B00001,2015-05-01 06:45:00,
B00001,2015-05-01 07:00:00,
B00001,2015-05-01 07:45:00,
B00001,2015-05-01 08:00:00,
B00001,2015-05-01 08:00:00,
B00001,2015-05-01 08:15:00,
B00001,2015-05-01 08:25:00,
B00001,2015-05-01 08:30:00,
B00001,2015-05-01 08:40:00,
B00001,2015-05-01 08:55:00,
B00001,2015-05-01 09:00:00,
B00001,2015-05-01 09:15:00,
B00001,2015-05-01 09:15:00,
B00001,2015-05-01 09:15:00,
B00001,2015-05-01 09:15:00,
B00001,2015-05-01 09:15:00,
B00001,2015-05-01 09:30:00,
B00001,2015-05-01 09:30:00,
B00001,2015-05-01 09:30:00,
B00001,2015-05-01 10:11:00,
B00001,2015-05-01 10:15:00,
B00001,2015-05-01 10:21:00,
B00001,2015-05-01 10:30:00,
B00001,2015-05-01 10:30:00,
B00001,2015-05-01 11:30:00,
B00001,2015-05-01 11:30:00,
B00001,2015-05-01 12:00:00,
B00001,2015-05-01 12:10:00,
B00001,2015-05-01 12:15:00,
B00001,2015-05-01 12:15:00,
B00001,2015-05-01 12:30:00,
B00001,2015-05-01 12:30:00,
B00001,2015-05-01 12:30:00,
B00001,2015-05-01 12:45:00,
B00001,2015-05-01 12:45:00,
B00001,2015-05-01 13:00:00,
B00001,2015-05-01 13:00:00,
B00001,2015-05-01 13:00:00,
B00001,2015-05-01 14:00:00,
B00001,2015-05-01 14:00:00,
B00001,2015-05-01 14:28:00,
B00001,2015-05-01 14:30:00,
B00001,2015-05-01 14:30:00,
B00001,2015-05-01 14:46:00,
B00001,2015-05-01 14:50:00,
B00001,2015-05-01 15:00:00,
B00001,2015-05-01 15:00:00,
B00001,2015-05-01 15:08:00,
B00001,2015-05-01 15:15:00,
B00001,2015-05-01 15:30:00,
B00001,2015-05-01 15:30:00,
B00001,2015-05-01 15:30:00,
B00001,2015-05-01 15:30:00,
B00001,2015-05-01 15:30:00,
B00001,2015-05-01 15:30:00,
B00001,2015-05-01 15:30:00,
B00001,2015-05-01 15:45:00,
B00001,2015-05-01 16:00:00,
B00001,2015-05-01 16:00:00,
B00001,2015-05-01 16:15:00,
B00001,2015-05-01 16:15:00,
B00001,2015-05-01 16:30:00,
B00001,2015-05-01 17:00:00,
B00001,2015-05-01 17:15:00,
B00001,2015-05-01 17:15:00,
B00001,2015-05-01 17:30:00,
B00001,2015-05-01 17:30:00,
B00001,2015-05-01 17:40:00,
B00001,2015-05-01 17:47:00,
B00001,2015-05-01 17:48:00,
B00001,2015-05-01 18:00:00,
B00001,2015-05-01 18:19:00,
B00001,2015-05-01 18:40:00,
B00001,2015-05-01 18:45:00,
B00001,2015-05-01 19:30:00,
B00001,2015-05-01 19:58:00,
B00001,2015-05-01 20:00:00,
B00001,2015-05-01 20:05:00,
B00001,2015-05-01 20:30:00,
B00001,2015-05-01 21:00:00,
B00001,2015-05-01 21:53:00,
B00001,2015-05-01 22:00:00,
B00001,2015-05-01 22:00:00,
B00001,2015-05-01 22:30:00,
B00001,2015-05-01 22:31:00,
B00001,2015-05-01 23:00:00,
B00001,2015-05-01 23:00:00,
B00001,2015-05-02 06:00:00,
B00001,2015-05-02 07:00:00,
B00001,2015-05-02 07:30:00,
B00001,2015-05-02 07:45:00,
B00001,2015-06-01 04:30:00,
B00001,2015-06-01 04:30:00,
B00001,2015-06-01 04:30:00,
B00001,2015-06-01 04:50:00,
B00001,2015-06-01 05:30:00,
B00001,2015-06-01 06:00:00,
B00001,2015-06-01 06:00:00,
B00001,2015-06-01 06:00:00,
B00001,2015-06-01 06:15:00,
B00001,2015-06-01 06:15:00,
B00001,2015-06-01 06:30:00,
B00001,2015-06-01 06:45:00,
B00001,2015-06-01 07:00:00,
B00001,2015-06-01 07:00:00,
B00001,2015-06-01 07:00:00,
B00001,2015-06-01 07:30:00,
B00001,2015-06-01 08:00:00,
B00001,2015-06-01 08:00:00,
B00001,2015-06-01 08:00:00,
B00001,2015-06-01 08:10:00,
B00001,2015-06-01 08:15:00,
B00001,2015-06-01 08:30:00,
B00001,2015-06-01 09:00:00,
B00001,2015-06-01 09:15:00,
B00001,2015-06-01 09:15:00,
B00001,2015-06-01 09:26:00,
B00001,2015-06-01 09:30:00,
B00001,2015-06-01 09:45:00,
B00001,2015-06-01 10:00:00,
B00001,2015-06-01 10:00:00,
B00001,2015-06-01 10:20:00,
B00001,2015-06-01 10:35:00,
B00001,2015-06-01 11:00:00,
B00001,2015-06-01 11:00:00,
B00001,2015-06-01 11:00:00,
B00001,2015-06-01 11:15:00,
B00001,2015-06-01 11:30:00,
B00001,2015-06-01 12:00:00,
B00001,2015-06-01 12:30:00,
B00001,2015-06-01 12:30:00,
B00001,2015-06-01 12:30:00,
B00001,2015-06-01 12:45:00,
B00001,2015-06-01 12:50:00,
B00001,2015-06-01 13:00:00,
B00001,2015-06-01 13:00:00,
B00001,2015-06-01 13:15:00,
B00001,2015-06-01 13:30:00,
B00001,2015-06-01 14:00:00,
B00001,2015-06-01 14:00:00,
B00001,2015-06-01 14:17:00,
B00001,2015-06-01 15:00:00,
B00001,2015-06-01 15:00:00,
B00001,2015-06-01 15:00:00,
B00001,2015-06-01 15:10:00,
B00001,2015-06-01 15:30:00,
B00001,2015-06-01 15:30:00,
B00001,2015-06-01 16:00:00,
B00001,2015-06-01 16:00:00,
B00001,2015-06-01 16:00:00,
B00001,2015-06-01 16:00:00,
B00001,2015-06-01 16:00:00,
B00001,2015-06-01 16:15:00,
B00001,2015-06-01 16:29:00,
B00001,2015-06-01 16:45:00,
B00001,2015-06-01 17:00:00,
B00001,2015-06-01 17:03:00,
B00001,2015-06-01 17:10:00,
B00001,2015-06-01 17:45:00,
B00001,2015-06-01 17:45:00,
B00001,2015-06-01 18:00:00,
B00001,2015-06-01 18:00:00,
B00001,2015-06-01 18:00:00,
B00001,2015-06-01 18:00:00,
B00001,2015-06-01 18:00:00,
B00001,2015-06-01 19:15:00,
B00001,2015-06-01 20:00:00,
B00001,2015-06-01 20:30:00,
B00001,2015-06-01 20:32:00,
B00001,2015-06-01 21:00:00,
B00001,2015-06-01 21:30:00,
B00001,2015-06-01 21:58:00,
B00001,2015-06-01 22:20:00,
B00001,2015-06-01 23:56:00,
B00001,2015-06-02 03:20:00,
B00001,2015-06-02 04:30:00,
B00001,2015-06-02 05:00:00,
B00001,2015-06-02 05:15:00,
B00001,2015-06-02 06:00:00,
B00001,2015-06-02 06:00:00,
B00001,2015-06-02 06:15:00,
B00001,2015-06-02 06:30:00,
B00001,2015-06-02 06:30:00,
B00001,2015-06-02 06:30:00,
B00001,2015-06-02 06:30:00,
B00001,2015-06-02 06:35:00,
B00001,2015-06-02 06:45:00,
B00001,2015-06-02 07:00:00,
B00001,2015-06-02 07:10:00,
B00001,2015-06-02 07:15:00,
B00001,2015-06-02 07:30:00,
B00001,2015-07-01 04:45:00,
B00001,2015-07-01 05:00:00,
B00001,2015-07-01 06:00:00,
B00001,2015-07-01 06:15:00,
B00001,2015-07-01 06:15:00,
B00001,2015-07-01 06:30:00,
B00001,2015-07-01 06:45:00,
B00001,2015-07-01 06:45:00,
B00001,2015-07-01 06:45:00,
B00001,2015-07-01 07:00:00,
B00001,2015-07-01 07:00:00,
B00001,2015-07-01 08:00:00,
B00001,2015-07-01 08:00:00,
B00001,2015-07-01 08:00:00,
B00001,2015-07-01 08:15:00,
B00001,2015-07-01 08:30:00,
B00001,2015-07-01 08:45:00,
B00001,2015-07-01 08:45:00,
B00001,2015-07-01 09:00:00,
B00001,2015-07-01 10:00:00,
B00001,2015-07-01 10:45:00,
B00001,2015-07-01 10:50:00,
B00001,2015-07-01 11:00:00,
B00001,2015-07-01 11:30:00,
B00001,2015-07-01 11:45:00,
B00001,2015-07-01 11:45:00,
B00001,2015-07-01 12:15:00,
B00001,2015-07-01 12:25:00,
B00001,2015-07-01 12:30:00,
B00001,2015-07-01 12:30:00,
B00001,2015-07-01 12:40:00,
B00001,2015-07-01 13:00:00,
B00001,2015-07-01 13:30:00,
B00001,2015-07-01 13:55:00,
B00001,2015-07-01 14:00:00,
B00001,2015-07-01 14:14:00,
B00001,2015-07-01 14:30:00,
B00001,2015-07-01 14:30:00,
B00001,2015-07-01 14:57:00,
B00001,2015-07-01 15:00:00,
B00001,2015-07-01 15:45:00,
B00001,2015-07-01 15:45:00,
B00001,2015-07-01 16:15:00,
B00001,2015-07-01 16:30:00,
B00001,2015-07-01 16:39:00,
B00001,2015-07-01 17:15:00,
B00001,2015-07-01 17:42:00,
B00001,2015-07-01 17:45:00,
B00001,2015-07-01 18:00:00,
B00001,2015-07-01 18:00:00,
B00001,2015-07-01 18:00:00,
B00001,2015-07-01 18:30:00,
B00001,2015-07-01 19:00:00,
B00001,2015-07-01 19:06:00,
B00001,2015-07-01 19:18:00,
B00001,2015-07-01 20:15:00,
B00001,2015-07-01 20:18:00,
B00001,2015-07-01 20:30:00,
B00001,2015-07-01 21:00:00,
B00001,2015-07-01 22:00:00,
B00001,2015-07-01 23:01:00,
B00001,2015-07-02 05:00:00,
B00001,2015-07-02 05:30:00,
B00001,2015-07-02 05:30:00,
B00001,2015-07-02 06:00:00,
B00001,2015-07-02 06:15:00,
B00001,2015-07-02 06:50:00,
B00001,2015-07-02 07:00:00,
B00001,2015-07-02 07:00:00,
B00001,2015-07-02 07:00:00,
B00001,2015-07-02 07:10:00,
B00001,2015-07-02 07:30:00,
B00001,2015-07-02 08:00:00,
B00001,2015-07-02 08:00:00,
B00001,2015-07-02 08:15:00,
B00001,2015-07-02 08:15:00,
B00001,2015-07-02 08:30:00,
B00001,2015-07-02 08:45:00,
B00001,2015-07-02 08:51:00,
B00001,2015-07-02 09:00:00,
B00001,2015-07-02 09:15:00,
B00001,2015-07-02 09:45:00,
B00001,2015-07-02 09:45:00,
B00001,2015-07-02 09:49:00,
B00001,2015-07-02 10:00:00,
B00001,2015-07-02 10:00:00,
B00001,2015-07-02 10:20:00,
B00001,2015-07-02 10:30:00,
B00001,2015-07-02 10:30:00,
B00001,2015-07-02 11:00:00,
B00001,2015-07-02 11:37:00,
B00001,2015-07-02 12:00:00,
B00001,2015-07-02 12:00:00,
B00001,2015-07-02 12:30:00,
B00001,2015-07-02 13:30:00,
B00001,2015-07-02 13:41:00,
B00001,2015-07-02 13:43:00,
B00001,2015-07-02 13:45:00,
B00001,2015-07-02 13:45:00,
B00001,2015-07-02 14:00:00,
B00001,2015-08-01 05:50:00,
B00001,2015-08-01 06:30:00,
B00001,2015-08-01 07:00:00,
B00001,2015-08-01 07:30:00,
B00001,2015-08-01 07:45:00,
B00001,2015-08-01 08:15:00,
B00001,2015-08-01 09:32:00,
B00001,2015-08-01 10:00:00,
B00001,2015-08-01 10:00:00,
B00001,2015-08-01 11:00:00,
B00001,2015-08-01 11:45:00,
B00001,2015-08-01 13:00:00,
B00001,2015-08-01 13:00:00,
B00001,2015-08-01 13:00:00,
B00001,2015-08-01 13:01:00,
B00001,2015-08-01 14:30:00,
B00001,2015-08-01 14:54:00,
B00001,2015-08-01 15:50:00,
B00001,2015-08-01 17:40:00,
B00001,2015-08-01 18:20:00,
B00001,2015-08-01 19:15:00,
B00001,2015-08-01 19:30:00,
B00001,2015-08-01 19:35:00,
B00001,2015-08-01 19:45:00,
B00001,2015-08-01 20:10:00,
B00001,2015-08-01 22:09:00,
B00001,2015-08-02 05:30:00,
B00001,2015-08-02 06:00:00,
B00001,2015-08-02 06:30:00,
B00001,2015-08-02 06:30:00,
B00001,2015-08-02 07:30:00,
B00001,2015-08-02 08:45:00,
B00001,2015-08-02 10:00:00,
B00001,2015-08-02 11:00:00,
B00001,2015-08-02 11:00:00,
B00001,2015-08-02 12:00:00,
B00001,2015-08-02 12:45:00,
B00001,2015-08-02 12:55:00,
B00001,2015-08-02 13:29:00,
B00001,2015-08-02 14:00:00,
B00001,2015-08-02 15:00:00,
B00001,2015-08-02 15:29:00,
B00001,2015-08-02 16:00:00,
B00001,2015-08-02 16:15:00,
B00001,2015-08-02 16:30:00,
B00001,2015-08-02 16:45:00,
B00001,2015-08-02 17:00:00,
B00001,2015-08-02 17:00:00,
B00001,2015-08-02 17:25:00,
B00001,2015-08-02 17:40:00,
B00001,2015-08-02 18:00:00,
B00001,2015-08-02 19:00:00,
B00001,2015-08-02 19:44:00,
B00001,2015-08-02 19:55:00,
B00001,2015-08-02 21:00:00,
B00001,2015-08-02 21:45:00,
B00001,2015-08-02 22:00:00,
B00001,2015-08-02 22:45:00,
B00001,2015-08-02 23:02:00,
B00001,2015-08-03 04:29:00,
B00001,2015-08-03 05:30:00,
B00001,2015-08-03 06:00:00,
B00001,2015-08-03 06:15:00,
B00001,2015-08-03 06:15:00,
B00001,2015-08-03 06:30:00,
B00001,2015-08-03 07:00:00,
B00001,2015-08-03 07:00:00,
B00001,2015-08-03 07:15:00,
B00001,2015-08-03 07:30:00,
